location_key,month,clim_rain_mm,clim_rain_days,clim_tmean_c,clim_gdd10
-00.4250_+035.1250,12,119.08719018300374,7.966666666666667,17.99379863533925,253.20427383422916
-00.4250_+035.1750,1,87.24815090497334,7.066666666666666,18.56348843523255,269.4104724629726
-00.4250_+035.1750,2,74.62540849447251,7.633333333333334,19.609776245862616,275.1212332661953
-00.4250_+035.1750,3,156.3323827902476,12.3,19.522180723374916,303.7419259134934
-00.4250_+035.1750,4,264.23289359410603,17.9,18.39911129774874,266.64768259684325
-00.4250_+035.1750,5,231.03575448592505,16.0,17.992867913468366,260.67066370646216
-00.4250_+035.1750,6,161.240660905838,9.966666666666669,17.40375361336604,229.78574523925863
-00.4250_+035.1750,7,130.9345073143641,8.033333333333333,17.08171749730266,224.9466386922207
-00.4250_+035.1750,8,145.32322718103725,10.566666666666666,17.41055098024324,235.1042007446295
-00.4250_+035.1750,9,137.65950518846512,10.833333333333334,18.085354012383387,247.7456644694019
-00.4250_+035.1750,10,156.84004588127135,13.2,18.381256022846426,269.15979487101293
-00.4250_+035.1750,11,160.18617564837135,12.6,17.827838345986855,246.3434079488127
-00.4250_+035.1750,12,115.34569113651912,7.433333333333334,17.99379863533925,253.20427383422916
-00.4250_+035.9250,1,44.52963390350342,3.4,16.183560032314755,198.78170583089252
-00.4250_+035.9250,2,40.43345143000285,4.4,17.107041012294737,205.40087203979556
-00.4250_+035.9250,3,85.85140559673309,5.733333333333333,17.255800900066227,231.38655929565493
-00.4250_+035.9250,4,165.20614101092022,9.033333333333331,16.053997727146868,193.0997996521003
-00.4250_+035.9250,5,143.15929230848948,6.466666666666667,15.276926055689447,177.0866028340664
-00.4250_+035.9250,6,110.22395148674649,6.133333333333334,14.430378685704005,147.48184748331758
-00.4250_+035.9250,7,123.68675546646118,6.066666666666666,13.646162834304231,133.52400105794314
-00.4250_+035.9250,8,129.23455219964185,5.433333333333334,13.768890001440589,137.78944798787475
-00.4250_+035.9250,9,75.44275981585184,4.6,14.55490108631278,151.19962946573938
-00.4250_+035.9250,10,95.42916074593862,4.633333333333334,15.183818974375315,170.59984502156632
-00.4250_+035.9250,11,99.96049322684604,5.4,14.910773820523866,159.5295112609869
-00.4250_+035.9250,12,63.82599723363917,3.6,15.263636504962903,172.67476150512755
-00.4250_+035.9750,1,43.71210153897604,3.4,16.183560032314755,198.78170583089252
-00.4250_+035.9750,2,39.27351590792338,4.266666666666667,17.107041012294737,205.40087203979556
-00.4250_+035.9750,3,90.92291873296102,5.466666666666667,17.255800900066227,231.38655929565493
