location_key,cell_lat,cell_lon,n_rows,n_districts,first_year,last_year
+00.2250_+034.6250,0.225,34.625,29,3,2016,2020
+00.2250_+034.6750,0.225,34.675,52,2,2016,2020
+00.2250_+034.7250,0.225,34.725,51,2,2016,2020
+00.2250_+034.7750,0.225,34.775,81,3,2016,2020
+00.2250_+034.8250,0.225,34.825,88,2,2016,2020
+00.2250_+034.8750,0.225,34.875,9,2,2016,2020
+00.2250_+034.9250,0.225,34.925,15,2,2016,2018
+00.2250_+034.9750,0.225,34.975,34,3,2016,2020
+00.2250_+035.0250,0.225,35.025,10,3,2017,2019
+00.2250_+035.0750,0.225,35.075,24,3,2017,2020
+00.2250_+035.1250,0.225,35.125,6,3,2017,2020
+00.2250_+035.1750,0.225,35.175,7,2,2019,2020
+00.2250_+035.2250,0.225,35.225,24,2,2018,2018
+00.2250_+035.2750,0.225,35.275,10,1,2018,2020
+00.2250_+035.3750,0.225,35.375,5,1,2020,2020
+00.2250_+035.4250,0.225,35.425,10,1,2020,2020
+00.2250_+035.4750,0.225,35.475,3,1,2020,2020
+00.2250_+035.5250,0.225,35.525,1,1,2020,2020
+00.2250_+035.5750,0.225,35.575,6,1,2020,2020
+00.2250_+035.6250,0.225,35.625,5,1,2020,2020
+00.2750_+034.0250,0.275,34.025,7,1,2019,2019
+00.2750_+034.0750,0.275,34.075,28,1,2016,2020
+00.2750_+034.1250,0.275,34.125,59,2,2016,2020
+00.2750_+034.1750,0.275,34.175,47,2,2016,2020
+00.2750_+034.2250,0.275,34.225,44,1,2016,2020
+00.2750_+034.2750,0.275,34.275,26,1,2016,2020
+00.2750_+034.3250,0.275,34.325,4,1,2016,2020
+00.2750_+034.3750,0.275,34.375,29,2,2017,2020
+00.2750_+034.4250,0.275,34.425,72,3,2016,2020
+00.2750_+034.4750,0.275,34.475,90,2,2016,2020
+00.2750_+034.5250,0.275,34.525,73,2,2016,2020
+00.2750_+034.5750,0.275,34.575,46,3,2016,2020
+00.2750_+034.6250,0.275,34.625,33,3,2016,2020
+00.2750_+034.6750,0.275,34.675,21,2,2016,2020
+00.2750_+034.7250,0.275,34.725,74,7,2016,2020
+00.2750_+034.7750,0.275,34.775,118,5,2016,2020
+00.2750_+034.8250,0.275,34.825,54,2,2016,2020
+00.2750_+034.9250,0.275,34.925,13,2,2016,2018
+00.2750_+034.9750,0.275,34.975,8,2,2016,2018
