location_key,cell_lat,cell_lon,n_rows,n_districts,first_year,last_year
-00.9250_+034.9750,-0.925,34.975,2,1,2018,2018
-00.9250_+037.0750,-0.925,37.075,1,1,2020,2020
-00.9750_+034.2250,-0.975,34.225,1,1,2020,2020
-00.9750_+034.2750,-0.975,34.275,11,1,2019,2019
-00.9750_+034.3250,-0.975,34.325,17,1,2018,2019
-00.9750_+034.3750,-0.975,34.375,47,2,2016,2020
-00.9750_+034.4250,-0.975,34.425,39,2,2017,2020
-00.9750_+034.4750,-0.975,34.475,56,2,2016,2020
-00.9750_+034.5250,-0.975,34.525,49,2,2016,2020
-00.9750_+034.5750,-0.975,34.575,9,1,2019,2020
-00.9750_+034.6250,-0.975,34.625,20,2,2018,2020
-00.9750_+034.6750,-0.975,34.675,17,1,2018,2020
-00.9750_+034.7250,-0.975,34.725,5,1,2018,2020
-00.9750_+034.7750,-0.975,34.775,1,1,2020,2020
-00.9750_+034.8750,-0.975,34.875,3,1,2020,2020
-00.9750_+037.1250,-0.975,37.125,1,1,2020,2020
-00.9750_+037.1750,-0.975,37.175,7,1,2020,2020
-01.0250_+034.2250,-1.025,34.225,6,1,2020,2020
-01.0250_+034.2750,-1.025,34.275,8,1,2020,2020
-01.0250_+034.3250,-1.025,34.325,11,1,2018,2019
-01.0250_+034.3750,-1.025,34.375,51,1,2017,2020
-01.0250_+034.4250,-1.025,34.425,70,2,2016,2020
-01.0250_+034.4750,-1.025,34.475,95,2,2016,2020
-01.0250_+034.5250,-1.025,34.525,69,1,2016,2020
-01.0250_+034.5750,-1.025,34.575,75,2,2016,2020
-01.0250_+035.0750,-1.025,35.075,1,1,2017,2017
-01.0750_+034.2750,-1.075,34.275,7,1,2018,2020
-01.0750_+034.3250,-1.075,34.325,4,1,2018,2020
-01.0750_+034.3750,-1.075,34.375,14,1,2018,2020
-01.0750_+034.4250,-1.075,34.425,12,1,2016,2018
-01.0750_+034.4750,-1.075,34.475,34,1,2016,2020
-01.0750_+034.5250,-1.075,34.525,68,1,2016,2020
-01.0750_+034.5750,-1.075,34.575,13,1,2016,2018
-01.1250_+034.2750,-1.125,34.275,1,1,2018,2018
-01.1250_+034.3250,-1.125,34.325,3,1,2018,2018
-01.1250_+034.3750,-1.125,34.375,4,1,2018,2020
-01.1250_+034.4250,-1.125,34.425,20,1,2016,2020
-01.1250_+034.4750,-1.125,34.475,11,1,2016,2020
-01.1250_+034.5250,-1.125,34.525,16,1,2018,2020
-01.1750_+034.4250,-1.175,34.425,2,1,2020,2020
