location_key,year,month,rain_mm,rain_days,tmean_c,tmax_c,tmin_c,gdd10
+00.0250_+034.1250,2016,8,33.49736452102661,3,21.90266964820125,26.116179730815304,18.095456326392423,375.28035888671945
+00.0250_+034.1250,2016,9,69.03012943267822,11,22.466854625278074,26.777374267578125,18.73286641438807,382.65361022949287
+00.0250_+034.1250,2016,10,76.04272222518921,10,22.63373449592183,26.723165991998485,19.16227604035413,401.2243515014656
+00.0250_+034.1250,2016,11,114.47939705848694,12,22.19165613386372,26.43641510009769,18.809281412760413,378.6854476928718
+00.0250_+034.1250,2016,12,21.187721014022827,6,22.91477862532429,27.754523787959958,18.925674733807966,411.691693115235
+00.0250_+034.1250,2017,1,35.95392036437988,2,23.430509226809196,28.82559332078506,19.145214745306248,428.13461303710994
+00.0250_+034.1250,2017,2,188.1404013633728,13,23.214012309483167,27.91597191946852,19.3015871320452,378.68933105468807
+00.0250_+034.1250,2017,3,93.741557598114,15,22.80605505666432,26.922303525863185,19.23155094269788,405.0681152343757
+00.0250_+034.1250,2017,4,224.39013290405276,18,22.686510276794536,26.451772562662768,19.47017517089847,388.7427322387702
+00.0250_+034.1250,2017,5,261.0302767753601,19,22.14685578294984,25.911002177576904,19.01763010332661,386.3938003540046
+00.0250_+034.1250,2017,6,82.37738418579102,10,22.1938764572144,26.32777455647789,18.76475728352869,376.3879776000984
+00.0250_+034.1250,2017,7,98.49773097038268,17,21.42544886681344,25.25686675040953,18.22940634450606,364.0372329711921
+00.0250_+034.1250,2017,8,104.42799758911131,17,21.78077520144882,25.712956877677698,18.362981783959185,373.1770492553718
+00.0250_+034.1250,2017,9,139.07196426391602,19,21.77401741875553,25.849460856119837,18.44560394287112,364.425971984864
+00.0250_+034.1250,2017,10,147.3603653907776,17,22.19901098025741,26.273169043756297,18.79542620258951,388.5632263183601
+00.0250_+034.1250,2017,11,127.8935432434082,16,21.687407938639296,25.501808675130235,18.45180358886722,359.3041839599616
+00.0250_+034.1250,2017,12,18.84744167327881,2,22.887690726659685,27.446035372826373,19.078813417496235,411.1351562500007
+00.0250_+034.1250,2018,1,23.742833614349365,2,22.15205970682115,26.05407202935993,18.778932436050923,384.9115692138679
+00.0250_+034.1250,2018,2,75.85126829147339,8,23.97084627151497,28.97926428658621,19.754081072126155,395.20252838134815
+00.0250_+034.1250,2018,3,201.62521648406985,27,21.58211434066942,25.15100422520794,18.627214296402485,368.5623870849616
+00.0250_+034.1250,2018,4,277.1718146800995,24,20.93786691029868,24.12335561116538,18.44804840087892,338.57106018066474
+00.0250_+034.1250,2018,5,234.89142608642575,24,21.49904920516485,25.27852290984123,18.568554589056248,369.62970123291086
+00.0250_+034.1250,2018,6,104.6241946220398,12,21.09676829444044,24.94789479573569,17.855585734049498,342.052207946778
+00.0250_+034.1250,2018,7,43.59106349945069,4,21.15907007443002,25.08242335165704,17.77693156580773,354.32000122070383
+00.0250_+034.1250,2018,8,71.7098149061203,14,21.464429145730943,25.691822470388104,17.854398961221023,364.9664321899421
+00.0250_+034.1250,2018,9,58.187551498413086,9,22.34579344855416,26.654211425781284,18.633017476399743,379.3084335327155
+00.0250_+034.1250,2018,10,196.80296087265012,19,22.07407105148485,26.060897138041867,18.712856465001263,383.9931808471687
