yield_kg_ph,year,is_holdout,cv_group,cv_fold,site,district,plant_date,harvest_date,cows,electricity,hh_num,hh_num_under18,owns_cows,owns_electricity,owns_oxen,plot_acres,plot_hectares,wealth_index,can_kg_ph_flagged_outlier,comp_quality_is_missing,comp_wb_pa_flagged_outlier,dap_kg_ph_flagged_outlier,fertility_is_missing,field_gps_flagged_invalid,growing_season_days_flagged,n_kg_ph_is_missing,pest_disease_is_missing,plant_date_doy_is_missing,plot_acres_flagged_outlier,slope_angle_num_is_missing,slope_is_missing,urea_kg_ph_flagged_outlier,uses_hybrid_seed_is_missing,basal_n_share,can_kg_ph,can_kg_ph_winsorized,comp_wb_pa,comp_wb_pa_winsorized,compost_applied,compost_wb_ph,dap_kg_ph,dap_kg_ph_winsorized,hybrid_seed_share,hybridseed_kg_ph,intercrop,intercrop_is_legume,intercrop_type,k2o_kg_ph,lime_kg_ph,lime_kg_ph_winsorized,localseed_kg_ph,n_kg_ph,npk_kg_ph,npk_kg_ph_winsorized,p2o5_kg_ph,plant_date_doy,seed_category,seed_type,seed_type_clean,seed_type_is_mixed,seed_type_primary,topdress_applied,total_nutrient_kg_ph,urea_kg_ph,urea_kg_ph_winsorized,uses_hybrid_seed,drought,chickens,fertility,fertility_ordinal,goats,growing_season_days,hh_num_under5,owns_chickens,owns_goats,weed,FAW,flood,pest_disease
5202.2104,2017,False,Monyerero,3,Monyerero,kisii,,2017-08-24,0.0,,4.0,2.0,False,,False,0.25,0.101171500980854,-0.9519553830121535,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.5094339546789848,98.842003,98.842003,0.0,0.0,False,0.0,148.263,148.263,1.0,79.073601,True,True,beans,0.0,0.0,0.0,0.0,52.38626078,0.0,0.0,68.20098,,local,local,local,False,local,True,120.58724078,0.0,0.0,True,False,6.0,better,1.0,0.0,,,True,False,2.0,,False,True
3927.6692,2017,False,Kakunga,2,Kakunga,kakamega_north,,2017-07-27,2.0,,8.0,3.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.40909090909090906,247.105,247.105,0.0,0.0,False,0.0,247.105,247.105,0.0,0.0,True,True,beans,0.0,0.0,0.0,79.073601,108.72619999999999,0.0,0.0,113.6683,,local,local,local,False,local,True,222.3945,0.0,0.0,False,False,4.0,better,1.0,0.0,,,True,False,2.0,True,False,True
2887.2271,2017,False,Yiro West,0,Yiro West,butere,2017-03-15,2017-07-31,2.0,,7.0,6.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,1.0,49.421001,True,True,beans,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,74.0,hybrid_branded,sc_duma_43,sc_duma_43,False,sc_duma_43,True,111.19725,0.0,0.0,True,False,5.0,same,0.0,0.0,138.0,,True,False,1.0,True,False,True
1027.4366,2017,False,Dienya,4,Dienya,alego,,2017-08-21,4.0,,8.0,4.0,True,,False,0.125,0.050585750490427,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.580645166217304,98.842003,98.842003,0.0,0.0,False,0.0,197.68401,197.68401,0.0,0.0,False,,,0.0,0.0,0.0,4.9421,61.28204258,0.0,0.0,90.9346446,,local,local,local,False,local,True,152.21668718,0.0,0.0,False,False,10.0,better,1.0,0.0,,,True,False,1.0,True,True,True
5371.2822,2017,False,Sirare,0,Sirare,chwele,2017-02-27,2017-07-12,2.0,,6.0,4.0,True,,False,0.25,0.101171500980854,0.23828605228518726,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.39926062846580407,123.5525,123.5525,0.0,0.0,False,0.0,118.6104,118.6104,1.0,98.842003,True,True,beans,0.0,0.0,0.0,0.0,53.473521999999996,0.0,0.0,54.560784,58.0,hybrid_branded,wh_505,wh_505,False,wh_505,True,108.03430599999999,0.0,0.0,True,False,2.0,same,0.0,0.0,135.0,,True,False,2.0,True,False,True
6372.7075,2017,False,Mudete,4,Mudete,kakamega_south,,,2.0,,5.0,2.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.3564356505266581,123.5525,123.5525,0.0,0.0,False,0.0,98.842003,98.842003,0.6666666704137618,59.305199,True,True,beans,0.0,0.0,0.0,29.652599,49.91521054,0.0,0.0,45.46732138,,hybrid_branded,h_614d,h_614d,False,h_614d,True,95.38253191999999,0.0,0.0,True,False,25.0,same,0.0,0.0,,,True,False,2.0,,False,True
6060.5752,2017,False,Musakasa,4,Musakasa,chwele,,,1.0,,5.0,3.0,True,,False,0.125,0.050585750490427,1.5051934708448016,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.0,19.7684,19.7684,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,19.7684,5.139784,0.0,0.0,0.0,,local,local,local,False,local,True,5.139784,0.0,0.0,False,False,3.0,worse,-1.0,2.0,,,True,True,2.0,True,False,True
3121.3262,2017,False,Bonyagatanyi,4,Bonyagatanyi,suneka,2017-02-12,2017-07-23,0.0,,7.0,4.0,False,,False,0.5,0.202343001961708,-2.5257753301587758,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4090909090909091,49.421001,49.421001,0.0,0.0,False,0.0,49.421001,49.421001,1.0,49.421001,True,False,other,0.0,0.0,0.0,0.0,21.745240439999996,0.0,0.0,22.73366046,43.0,hybrid_branded,pan_691,pan_691,False,pan_691,True,44.4789009,0.0,0.0,True,False,0.0,same,0.0,0.0,161.0,,False,False,2.0,True,False,True
1976.84,2017,False,Onyinyore,2,Onyinyore,gem,,,5.0,,1.0,0.0,True,,False,0.75,0.303514510393143,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True,beans,0.0,0.0,0.0,32.947334,0.0,0.0,0.0,0.0,,local,local,local,False,local,False,0.0,0.0,0.0,False,False,7.0,same,0.0,0.0,,,True,False,1.0,,False,True
5559.8623,2017,False,Endebess,4,Endebess,ndalu,2017-03-28,2017-11-06,2.0,,2.0,1.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.0,49.421001,True,True,beans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,hybrid_branded,h_614d,h_614d,False,h_614d,False,0.0,0.0,0.0,True,,10.0,,,0.0,223.0,,True,False,0.0,,,False
